"Player","Team","Season","MinutesIncludes stoppage time.","Shots","SoTShots on Target","GGoals","xGxGoals","xPlaceDifference between post- and pre-shot xG models.","G-xG","KeyPKey Passes","APrimary Assists","xAxAssists","A-xA","xG+xA","PAExpected points added through scoring goals.","xPAExpected points added through taking shots."
"Brad Davis","HOU","2014","2176","1","0","0","0.1723","-0.1723","-0.1723","1","0","0.3233","-0.3233","0.4956","0","0.0111"
"Danny Cruz","PHI","2014","1444","4","2","1","0.2605","0.491","0.7395","1","0","0.2166","-0.2166","0.477","0.3759","0.0865"
"Lee Nguyen","NER","2014","2946","2","1","1","0.1957","0.3107","0.8043","3","0","0.2689","-0.2689","0.4646","0.0752","0.0554"
"Perry Kitchen","DCU","2014","3024","0","0","0","0","0","0","2","0","0.4419","-0.4419","0.4419","0","0"
"Osvaldo Alonso","SEA","2014","3183","2","1","0","0.3538","-0.3063","-0.3538","2","0","0.0879","-0.0879","0.4417","0","0.0007"
"Teal Bunbury","NER","2014","2621","2","2","0","0.2167","0.0521","-0.2167","1","1","0.2161","0.7839","0.4328","0","0.05"
"Leandro Barrera","CHV","2014","2173","4","4","1","0.4306","0.6024","0.5694","0","0","0","0","0.4306","0.0374","0.2524"
"Jack McInerney","MTL","2014","1906","2","0","0","0.4177","-0.4177","-0.4177","0","0","0","0","0.4177","0","0.1987"
"Justin Mapp","MTL","2014","1840","0","0","0","0","0","0","2","1","0.4052","0.5948","0.4052","0","0"
"Marc Burch","COL","2014","2036","0","0","0","0","0","0","1","0","0.3962","-0.3962","0.3962","0","0"
"Tim Cahill","NYRB","2014","1631","0","0","0","0","0","0","1","0","0.3951","-0.3951","0.3951","0","0"
"Eric Alexander","NYRB","2014","2816","1","1","1","0.393","0.3822","0.607","0","0","0","0","0.393","-0.0001","0"
"Sebastián Jaime","RSL","2014","282","1","1","0","0.3767","0.0022","-0.3767","0","0","0","0","0.3767","0","0.0014"
"Robbie Findley","RSL","2014","836","1","0","0","0.0853","-0.0853","-0.0853","3","0","0.2747","-0.2747","0.36","0","0.0982"
"Chris Wondolowski","SJE","2014","2536","2","1","1","0.159","0.1956","0.841","2","1","0.189","0.811","0.348","0.5861","0.1044"
"Diego Chara","POR","2014","2973","1","1","0","0.0796","-0.035","-0.0796","3","0","0.2683","-0.2683","0.3479","0","0.006"
"Devon Sandoval","RSL","2014","701","1","1","0","0.3398","0.2546","-0.3398","0","0","0","0","0.3398","0","0.0072"
"Will Johnson","POR","2014","2734","1","1","0","0.177","0.374","-0.177","2","0","0.1625","-0.1625","0.3396","0","0.0187"
"Gastón Fernández","POR","2014","1738","1","1","0","0.04","0.0095","-0.04","3","0","0.2948","-0.2948","0.3348","0","0.0335"
"Gyasi Zardes","LAG","2014","2575","0","0","0","0","0","0","1","0","0.329","-0.329","0.329","0","0"
"Giles Barnes","HOU","2014","3258","2","1","0","0.3286","-0.2673","-0.3286","0","0","0","0","0.3286","0","0.1235"
"Erick Torres","CHV","2014","2669","2","1","1","0.2198","-0.0389","0.7802","1","0","0.0919","-0.0919","0.3117","0.7849","0.1549"
"Ethan Finlay","CLB","2014","2064","1","0","0","0.0665","-0.0665","-0.0665","3","0","0.2367","-0.2367","0.3032","0","0.0106"
"Aaron Schoenfeld","CLB","2014","814","3","2","0","0.2981","0.3081","-0.2981","0","0","0","0","0.2981","0","0.0793"
"Tony Tchani","CLB","2014","3169","1","0","0","0.0498","-0.0498","-0.0498","2","0","0.2478","-0.2478","0.2976","0","0.0004"
"Robert Earnshaw","CHI","2014","203","1","0","0","0.2933","-0.2933","-0.2933","0","0","0","0","0.2933","0","0.0338"
"Andrés Romero","MTL","2014","2323","2","1","1","0.2615","0.6259","0.7385","1","0","0.0292","-0.0292","0.2907","0.3018","0.0737"
"Marco Pappa","SEA","2014","2025","1","0","0","0.149","-0.149","-0.149","1","0","0.1374","-0.1374","0.2864","0","0.1565"
"Félix Borja","CHV","2014","1055","2","2","0","0.2838","-0.0405","-0.2838","0","0","0","0","0.2838","0","0.1452"
"Patrick Mullins","NER","2014","1300","1","1","0","0.1309","0.4108","-0.1309","1","1","0.1509","0.8491","0.2818","0","0.0905"
"Chad Barrett","SEA","2014","983","1","1","1","0.2759","0.1352","0.7241","0","0","0","0","0.2759","0.1018","0.0281"
"Olmes García","RSL","2014","1310","3","0","0","0.2747","-0.2747","-0.2747","0","0","0","0","0.2747","0","0.0005"
"Dillon Serna","COL","2014","1762","1","1","0","0.1063","0.3422","-0.1063","1","0","0.1683","-0.1683","0.2746","0","0.0151"
"Jermaine Jones","NER","2014","663","0","0","0","0","0","0","2","1","0.2739","0.7261","0.2739","0","0"
"Diego Fagundez","NER","2014","2297","2","2","1","0.2682","0.619","0.7318","0","0","0","0","0.2682","0.0114","0.034"
"Nick DeLeon","DCU","2014","2881","1","0","0","0.1776","-0.1776","-0.1776","1","0","0.0828","-0.0828","0.2604","0","0.1078"
"Jackson","TOR","2014","1971","1","0","0","0.1098","-0.1098","-0.1098","2","0","0.1449","-0.1449","0.2547","0","0.1117"
"Jack McInerney","PHI","2014","317","0","0","0","0","0","0","1","1","0.2449","0.7551","0.2449","0","0"
"Luis Silva","DCU","2014","1594","1","1","0","0.0828","0.0817","-0.0828","2","0","0.1599","-0.1599","0.2426","0","0.0438"
"Shea Salinas","SJE","2014","2594","1","1","1","0.1243","0.6109","0.8757","1","1","0.1155","0.8845","0.2399","0.7099","0.0882"
"Maurice Edu","PHI","2014","3001","0","0","0","0","0","0","1","0","0.2371","-0.2371","0.2371","0","0"
