"Player","Team","Dribbling","Fouling","Interrupting","Passing","Receiving","Shooting","Goals Added"
"Steven Vitória","PHI","-0.1024","0.1429","0.5088","-0.4128","-0.2004","-0.038","-0.1019"
"Davy Arnaud","DCU","0.0813","0.5893","0.541","-0.7129","-0.3258","-0.275","-0.1021"
"Bernardo Añor","SKC","-0.2688","0.2738","0.1674","-0.4027","0.058","0.0666","-0.1057"
"Quincy Amarikwa","CHI","0.1792","-0.0313","0.0231","-0.2661","0.3125","-0.3241","-0.1067"
"Jérémy Gagnon-Laparé","MTL","-0.0086","-0.0011","-0.0469","-0.0319","-0.0236","-0.0043","-0.1164"
"Adam Nemec","NYC","-0.0893","0.1724","0.0649","0.1447","-0.3283","-0.087","-0.1226"
"Jimmy Medranda","SKC","-0.0024","-0.0858","0.0723","0.0832","-0.1245","-0.0659","-0.1231"
"Corey Ashe","ORL","-0.1189","0.0715","-0.2529","0.1689","-0.0046","0.0122","-0.1238"
"Aaron Kovar","SEA","-0.1346","0.0127","0.001","0.1992","-0.1602","-0.0488","-0.1307"
"Khari Stephenson","SJE","-0.0111","0.0062","0.0164","-0.1121","-0.0429","0.0117","-0.1318"
